epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.9,0.53718,1.82478,1.2956,0.89087,0.92109,0.98156,0.97272,0.23137,0.88192,0.58366,0.0673812,0.000665691,0.000665691
2,358.229,0.25086,0.67067,1.05194,0.98717,0.98391,0.98601,0.98302,0.21165,0.49878,0.54514,0.0347142,0.00133207,0.00133207
3,533.742,0.22607,0.54271,1.02157,0.98274,0.97074,0.9857,0.90584,0.40627,0.53313,0.77935,0.00204609,0.00199729,0.00199729
4,708.935,0.22057,0.48843,1.01129,0.9935,0.99162,0.98923,0.98483,0.21756,0.43479,0.52297,0.00199609,0.00199609,0.00199609
5,884.064,0.2078,0.44717,0.99771,0.99254,0.99327,0.98899,0.97892,0.25569,0.38952,0.54231,0.00199306,0.00199306,0.00199306
6,1059.28,0.19069,0.39888,0.98903,0.98911,0.99055,0.99356,0.98454,0.24415,0.44986,0.55289,0.00198917,0.00198917,0.00198917
7,1234.35,0.18596,0.37675,0.9802,0.99456,0.99335,0.9943,0.98794,0.27608,0.43928,0.56316,0.00198441,0.00198441,0.00198441
8,1409.29,0.18341,0.36989,0.97848,0.99027,0.99051,0.99368,0.98995,0.22215,0.42793,0.51722,0.00197881,0.00197881,0.00197881
9,1584.35,0.18102,0.35718,0.97656,0.99461,0.99412,0.99455,0.99123,0.23064,0.4251,0.50434,0.00197235,0.00197235,0.00197235
10,1759.39,0.1732,0.3382,0.97181,0.99373,0.99412,0.99449,0.99217,0.19393,0.43576,0.47917,0.00196506,0.00196506,0.00196506
11,1934.85,0.17173,0.32553,0.96907,0.99436,0.99412,0.99198,0.99125,0.18392,0.36678,0.46335,0.00195693,0.00195693,0.00195693
12,2110.13,0.17184,0.32714,0.96785,0.99523,0.99322,0.99457,0.99256,0.23914,0.37248,0.51187,0.00194798,0.00194798,0.00194798
13,2285.17,0.16515,0.2949,0.96527,0.99401,0.9939,0.99447,0.99115,0.21369,0.3712,0.48076,0.0019382,0.0019382,0.0019382
14,2460.12,0.16216,0.29799,0.96099,0.99457,0.99394,0.99447,0.99276,0.20338,0.36924,0.47827,0.00192762,0.00192762,0.00192762
15,2635.21,0.16088,0.29614,0.96065,0.97846,0.97376,0.99448,0.99141,0.2128,0.39129,0.49177,0.00191625,0.00191625,0.00191625
16,2810.43,0.1589,0.28277,0.9628,0.99475,0.99399,0.99478,0.99317,0.17449,0.2833,0.44488,0.00190409,0.00190409,0.00190409
17,2985.9,0.15603,0.2848,0.96103,0.99442,0.99258,0.99444,0.98109,0.25301,0.40135,0.55176,0.00189115,0.00189115,0.00189115
18,3160.99,0.15557,0.27281,0.96128,0.93078,0.99111,0.99323,0.98899,0.21157,0.40138,0.4898,0.00187745,0.00187745,0.00187745
19,3336.17,0.154,0.26675,0.95848,0.99465,0.99402,0.99478,0.99281,0.20404,0.36102,0.48105,0.00186301,0.00186301,0.00186301
