epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,3511.46,0.15335,0.26786,0.95686,0.99425,0.99401,0.99445,0.99224,0.23057,0.33869,0.50588,0.00184783,0.00184783,0.00184783
21,3686.71,0.15141,0.26805,0.95809,0.99385,0.98858,0.99475,0.97214,0.25859,0.31345,0.5448,0.00183193,0.00183193,0.00183193
22,3861.71,0.15002,0.25787,0.95667,0.9904,0.99213,0.9947,0.96191,0.2255,0.35533,0.50448,0.00181534,0.00181534,0.00181534
23,4036.7,0.147,0.24853,0.9531,0.99484,0.98381,0.99369,0.98594,0.23605,0.30418,0.50399,0.00179805,0.00179805,0.00179805
24,4211.88,0.1464,0.24958,0.95405,0.99404,0.99143,0.9948,0.99093,0.22477,0.41934,0.48932,0.0017801,0.0017801,0.0017801
25,4387.02,0.1451,0.24242,0.95247,0.99288,0.99476,0.99463,0.92782,0.25894,0.30294,0.54782,0.00176149,0.00176149,0.00176149
26,4562.25,0.14201,0.2467,0.95347,0.992,0.99425,0.9944,0.98758,0.26167,0.3897,0.53037,0.00174225,0.00174225,0.00174225
27,4737.38,0.1426,0.24195,0.94923,0.9925,0.99227,0.99465,0.98064,0.23965,0.33078,0.49349,0.0017224,0.0017224,0.0017224
28,4912.56,0.13912,0.2357,0.95129,0.99311,0.99476,0.99439,0.97899,0.2326,0.34408,0.49836,0.00170195,0.00170195,0.00170195
29,5087.74,0.14105,0.23441,0.94897,0.98983,0.99285,0.99462,0.99055,0.22957,0.2853,0.4907,0.00168093,0.00168093,0.00168093
30,5262.86,0.13986,0.23917,0.94914,0.99503,0.98374,0.99451,0.98984,0.25004,0.41338,0.51242,0.00165936,0.00165936,0.00165936
31,5438.1,0.13853,0.2266,0.94951,0.98858,0.99221,0.99383,0.97638,0.23281,0.44664,0.50888,0.00163725,0.00163725,0.00163725
32,5613.35,0.13608,0.23044,0.95116,0.992,0.98071,0.99402,0.94817,0.22195,0.4742,0.4884,0.00161463,0.00161463,0.00161463
33,5788.46,0.13511,0.22561,0.94678,0.99335,0.99412,0.99488,0.99224,0.25741,0.38416,0.53185,0.00159153,0.00159153,0.00159153
34,5963.61,0.13379,0.22838,0.94629,0.98846,0.99349,0.99455,0.97009,0.21061,0.47344,0.47227,0.00156796,0.00156796,0.00156796
35,6138.94,0.13266,0.22029,0.94758,0.99118,0.99412,0.99483,0.98967,0.23971,0.38031,0.50734,0.00154394,0.00154394,0.00154394
36,6314.26,0.1316,0.21934,0.94729,0.99146,0.99089,0.99444,0.98702,0.24258,0.32358,0.51459,0.00151951,0.00151951,0.00151951
37,6489.44,0.12945,0.21691,0.94633,0.99616,0.98274,0.99445,0.93666,0.28624,0.27009,0.56263,0.00149469,0.00149469,0.00149469
38,6664.89,0.12741,0.20876,0.94402,0.99823,0.98232,0.9946,0.98929,0.21776,0.48133,0.48429,0.00146949,0.00146949,0.00146949
39,6840.02,0.12603,0.21478,0.94527,0.98975,0.99491,0.9948,0.98272,0.21452,0.51094,0.47542,0.00144395,0.00144395,0.00144395
40,7015.07,0.12649,0.21218,0.94505,0.99136,0.99476,0.99485,0.95556,0.23566,0.36606,0.50906,0.00141809,0.00141809,0.00141809
41,7190.17,0.12547,0.20795,0.94491,0.99525,0.99285,0.99486,0.96933,0.25556,0.40725,0.52252,0.00139193,0.00139193,0.00139193
42,7365.2,0.1274,0.21123,0.94427,0.98901,0.99314,0.99476,0.98182,0.23984,0.37766,0.50099,0.00136551,0.00136551,0.00136551
43,7540.47,0.12572,0.20583,0.94341,0.98814,0.99476,0.99471,0.97366,0.25414,0.33805,0.51045,0.00133885,0.00133885,0.00133885
44,7715.62,0.12362,0.19797,0.94582,0.99258,0.99476,0.99486,0.96875,0.25145,0.32388,0.50986,0.00131197,0.00131197,0.00131197
45,7890.86,0.12114,0.19943,0.94071,0.98934,0.99476,0.9948,0.96175,0.24407,0.40746,0.50915,0.0012849,0.0012849,0.0012849
46,8066.26,0.12426,0.19928,0.9416,0.99133,0.99474,0.99485,0.9502,0.24145,0.46981,0.50848,0.00125766,0.00125766,0.00125766
