epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.66,0.09626,0.17452,0.94817,0.99403,0.961,0.98942,0.98333,0.21213,0.32219,0.61735,0.0670803,0.000332522,0.000332522
2,315.742,0.09296,0.1551,0.94228,0.98409,0.97567,0.98985,0.98435,0.20483,0.35555,0.619,0.0340794,0.000664952,0.000664952
3,472.414,0.09801,0.15347,0.94422,0.98484,0.97377,0.99007,0.98567,0.19025,0.41435,0.58783,0.00107488,0.000993776,0.000993776
4,629.021,0.10299,0.16866,0.94385,0.96992,0.95893,0.9818,0.97574,0.20823,0.26689,0.62391,0.000987843,0.000987843,0.000987843
5,785.819,0.10211,0.17089,0.94306,0.97613,0.98118,0.99069,0.98388,0.19532,0.34116,0.59948,0.000978465,0.000978465,0.000978465
6,942.752,0.09854,0.15641,0.94011,0.9759,0.97304,0.98652,0.97907,0.19857,0.33654,0.60282,0.000966507,0.000966507,0.000966507
7,1099.55,0.1019,0.16495,0.94199,0.98653,0.97223,0.99018,0.98557,0.17741,0.38526,0.57164,0.000952043,0.000952043,0.000952043
8,1256.48,0.1013,0.16681,0.94411,0.98799,0.98408,0.99069,0.98747,0.1864,0.38942,0.58908,0.000935162,0.000935162,0.000935162
9,1413.32,0.1004,0.16391,0.94042,0.97893,0.9855,0.98966,0.98605,0.19076,0.44028,0.58781,0.000915967,0.000915967,0.000915967
10,1570.1,0.09855,0.15865,0.94239,0.9871,0.97611,0.98827,0.98276,0.1881,0.42019,0.59591,0.000894579,0.000894579,0.000894579
11,1726.86,0.09675,0.15772,0.9399,0.98273,0.97703,0.98911,0.98458,0.19331,0.37561,0.61618,0.000871127,0.000871127,0.000871127
12,1883.78,0.09707,0.1609,0.94366,0.98396,0.96256,0.98631,0.98119,0.18589,0.33328,0.58072,0.000845757,0.000845757,0.000845757
13,2040.63,0.09488,0.15374,0.93953,0.98494,0.98646,0.9904,0.98566,0.16901,0.33098,0.56291,0.000818626,0.000818626,0.000818626
14,2197.4,0.0976,0.1601,0.94172,0.97377,0.97707,0.98968,0.98603,0.18566,0.41388,0.59664,0.000789899,0.000789899,0.000789899
15,2354.23,0.09522,0.15755,0.93707,0.98769,0.97528,0.99134,0.98464,0.17699,0.23656,0.56693,0.000759756,0.000759756,0.000759756
16,2511.02,0.0934,0.15256,0.94175,0.97685,0.97789,0.98876,0.98569,0.18615,0.34961,0.59747,0.000728381,0.000728381,0.000728381
17,2667.64,0.09314,0.14622,0.93882,0.99096,0.9843,0.99083,0.9861,0.18955,0.18668,0.58257,0.000695967,0.000695967,0.000695967
18,2824.4,0.09292,0.15319,0.93817,0.98325,0.98844,0.98923,0.98534,0.17657,0.23667,0.57186,0.000662716,0.000662716,0.000662716
19,2981.04,0.09598,0.16214,0.93475,0.97511,0.97343,0.98729,0.98382,0.18772,0.39603,0.58549,0.000628831,0.000628831,0.000628831
20,3137.72,0.09112,0.15524,0.93573,0.98425,0.98219,0.99062,0.98668,0.17988,0.30289,0.57091,0.000594522,0.000594522,0.000594522
21,3294.4,0.08953,0.14913,0.93785,0.98112,0.98068,0.98926,0.98339,0.1663,0.28483,0.55844,0.00056,0.00056,0.00056
22,3451,0.09157,0.15164,0.93593,0.988,0.98125,0.99004,0.98598,0.16691,0.31869,0.55794,0.000525478,0.000525478,0.000525478
23,3607.61,0.08859,0.14901,0.937,0.98427,0.9856,0.98912,0.98116,0.16979,0.31214,0.5586,0.000491169,0.000491169,0.000491169
24,3764.2,0.08914,0.14753,0.93924,0.98541,0.98038,0.9908,0.98406,0.16626,0.37058,0.55569,0.000457284,0.000457284,0.000457284
25,3920.85,0.08435,0.14134,0.93385,0.98785,0.98455,0.99026,0.98631,0.17447,0.26875,0.56451,0.000424033,0.000424033,0.000424033
26,4077.72,0.08458,0.13922,0.9324,0.98728,0.98529,0.99118,0.98649,0.16157,0.30326,0.54919,0.000391619,0.000391619,0.000391619
27,4234.5,0.08294,0.13817,0.93067,0.98279,0.98423,0.9905,0.98627,0.15839,0.29053,0.54699,0.000360244,0.000360244,0.000360244
28,4391.28,0.08396,0.13841,0.93197,0.98816,0.98284,0.99218,0.98764,0.16556,0.29751,0.55499,0.000330101,0.000330101,0.000330101
29,4548.03,0.08363,0.1384,0.93313,0.98709,0.98912,0.98914,0.98622,0.1745,0.32942,0.57488,0.000301374,0.000301374,0.000301374
30,4704.85,0.08233,0.13661,0.92838,0.99007,0.98649,0.99131,0.98824,0.16035,0.2521,0.54823,0.000274243,0.000274243,0.000274243
31,4862.24,0.04943,0.05929,0.92953,0.98905,0.98413,0.99115,0.9873,0.16461,0.29445,0.54867,0.000248873,0.000248873,0.000248873
32,5018.78,0.04907,0.0595,0.93464,0.98588,0.98246,0.99084,0.98712,0.16668,0.28332,0.55622,0.000225421,0.000225421,0.000225421
33,5175.17,0.04792,0.05628,0.93148,0.9809,0.98344,0.9907,0.98531,0.16368,0.30156,0.54947,0.000204033,0.000204033,0.000204033
34,5332.19,0.04756,0.05582,0.92782,0.98953,0.98188,0.99117,0.98814,0.16315,0.26469,0.5499,0.000184838,0.000184838,0.000184838
35,5488.9,0.04705,0.05539,0.93215,0.98766,0.98088,0.99062,0.98712,0.15997,0.27551,0.54591,0.000167957,0.000167957,0.000167957
36,5645.4,0.04593,0.05532,0.92899,0.98507,0.97946,0.9907,0.98837,0.16717,0.34204,0.55317,0.000153493,0.000153493,0.000153493
37,5801.73,0.04543,0.05344,0.9296,0.98894,0.98064,0.99046,0.9879,0.16274,0.32424,0.5514,0.000141535,0.000141535,0.000141535
38,5958.02,0.04586,0.0517,0.9297,0.98145,0.98177,0.99057,0.9874,0.16184,0.32872,0.54935,0.000132157,0.000132157,0.000132157
39,6114.53,0.04528,0.05353,0.93396,0.98554,0.98089,0.99113,0.98665,0.16141,0.33494,0.55018,0.000125417,0.000125417,0.000125417
40,6271.3,0.04472,0.05281,0.92998,0.98747,0.98277,0.99089,0.98864,0.16073,0.35477,0.54824,0.000121356,0.000121356,0.000121356
