epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.564,1.38948,3.12335,2.21319,0.57693,0.58004,0.62528,0.4952,0.87714,2.30657,1.59289,0.0674456,0.000664376,0.000664376
2,228.539,0.44161,1.33665,1.34026,0.95877,0.95167,0.96441,0.84694,0.57205,0.93166,1.10984,0.0347786,0.00133075,0.00133075
3,342.355,0.35256,0.8957,1.19945,0.96599,0.97063,0.9702,0.85792,0.53798,0.81478,0.99184,0.00211052,0.00199597,0.00199597
4,455.932,0.30549,0.77036,1.14489,0.96366,0.96288,0.96784,0.93526,0.35496,0.75734,0.72011,0.00199609,0.00199609,0.00199609
5,569.306,0.27779,0.70216,1.1062,0.98425,0.97299,0.97688,0.92863,0.38949,0.65678,0.75543,0.00199306,0.00199306,0.00199306
6,682.494,0.249,0.63023,1.07524,0.98219,0.97283,0.97916,0.92036,0.37462,0.57885,0.74207,0.00198917,0.00198917,0.00198917
7,796.205,0.23787,0.61385,1.06838,0.98009,0.96237,0.98031,0.97583,0.3017,0.66237,0.64302,0.00198441,0.00198441,0.00198441
8,909.429,0.22674,0.57929,1.05944,0.9863,0.97395,0.98601,0.95668,0.36165,0.64257,0.7058,0.00197881,0.00197881,0.00197881
9,1022.7,0.21227,0.53584,1.03596,0.96206,0.96664,0.98405,0.97069,0.34004,0.55055,0.65509,0.00197235,0.00197235,0.00197235
10,1135.88,0.20155,0.50506,1.02568,0.98154,0.97548,0.98858,0.98358,0.32474,0.49322,0.62365,0.00196506,0.00196506,0.00196506
11,1248.98,0.19646,0.48232,1.02211,0.95762,0.96346,0.97453,0.96897,0.33861,0.60851,0.66124,0.00195693,0.00195693,0.00195693
12,1362.21,0.19421,0.48723,1.01213,0.9802,0.96915,0.98717,0.98446,0.26333,0.49508,0.5427,0.00194798,0.00194798,0.00194798
13,1475.33,0.18425,0.46739,1.00647,0.9732,0.97063,0.98779,0.98252,0.25499,0.47818,0.54539,0.0019382,0.0019382,0.0019382
14,1588.46,0.18486,0.44281,1.00384,0.95902,0.98516,0.98863,0.93927,0.35328,0.42688,0.66901,0.00192762,0.00192762,0.00192762
15,1701.49,0.17853,0.43869,0.99985,0.75754,0.90107,0.92202,0.91812,0.245,0.96796,0.53162,0.00191625,0.00191625,0.00191625
16,1814.66,0.17449,0.41778,1.00064,0.98492,0.97223,0.98753,0.98444,0.27539,0.39617,0.55888,0.00190409,0.00190409,0.00190409
17,1927.75,0.17119,0.41307,0.99402,0.96616,0.97993,0.9877,0.98436,0.2486,0.38895,0.52163,0.00189115,0.00189115,0.00189115
18,2040.87,0.16708,0.39703,0.98955,0.96267,0.96956,0.98384,0.97345,0.28773,0.42016,0.55493,0.00187745,0.00187745,0.00187745
19,2154.13,0.16337,0.39426,0.98654,0.97219,0.97684,0.98691,0.97902,0.23369,0.38715,0.48596,0.00186301,0.00186301,0.00186301
20,2267.37,0.16163,0.38593,0.98854,0.98023,0.97027,0.986,0.98407,0.26597,0.38835,0.53175,0.00184783,0.00184783,0.00184783
21,2380.6,0.16375,0.38858,0.98805,0.99212,0.97441,0.99033,0.98773,0.23908,0.36301,0.48973,0.00183193,0.00183193,0.00183193
22,2493.75,0.15377,0.36218,0.978,0.97939,0.96902,0.98976,0.98028,0.23908,0.39014,0.49933,0.00181534,0.00181534,0.00181534
23,2606.85,0.15808,0.37506,0.98816,0.97172,0.97137,0.98991,0.96626,0.28321,0.395,0.55175,0.00179805,0.00179805,0.00179805
24,2719.99,0.15771,0.35261,0.98198,0.95673,0.96474,0.98577,0.97515,0.28079,0.34861,0.54304,0.0017801,0.0017801,0.0017801
25,2833.08,0.15723,0.35561,0.97942,0.97932,0.97642,0.98974,0.98754,0.23641,0.38978,0.47935,0.00176149,0.00176149,0.00176149
26,2946.23,0.1544,0.35787,0.97716,0.95741,0.93904,0.96637,0.96042,0.24421,0.46213,0.48797,0.00174225,0.00174225,0.00174225
27,3059.35,0.14989,0.34181,0.97786,0.99064,0.97857,0.99045,0.98762,0.24594,0.44196,0.50561,0.0017224,0.0017224,0.0017224
28,3172.47,0.14559,0.32861,0.97144,0.98183,0.95242,0.98767,0.98003,0.24431,0.32953,0.50256,0.00170195,0.00170195,0.00170195
29,3285.66,0.14607,0.33332,0.96589,0.99142,0.98274,0.99013,0.9874,0.24482,0.27685,0.51249,0.00168093,0.00168093,0.00168093
30,3398.85,0.14459,0.33619,0.9682,0.96664,0.9251,0.95885,0.95043,0.2448,0.46399,0.50055,0.00165936,0.00165936,0.00165936
31,3512.03,0.14148,0.32054,0.97068,0.98674,0.98449,0.99186,0.98428,0.1984,0.28224,0.42063,0.00163725,0.00163725,0.00163725
32,3625.19,0.13933,0.30559,0.97299,0.98234,0.97293,0.99142,0.98726,0.25047,0.30389,0.49961,0.00161463,0.00161463,0.00161463
33,3738.41,0.13937,0.31806,0.9703,0.97085,0.95464,0.9846,0.97354,0.23571,0.36035,0.48925,0.00159153,0.00159153,0.00159153
34,3851.67,0.14093,0.31389,0.96691,0.98283,0.98275,0.99015,0.98309,0.22869,0.29595,0.46676,0.00156796,0.00156796,0.00156796
35,3964.89,0.13853,0.3131,0.96963,0.98666,0.98332,0.98724,0.98392,0.24134,0.34464,0.48088,0.00154394,0.00154394,0.00154394
36,4078.14,0.13164,0.30704,0.96409,0.98485,0.97754,0.99018,0.98631,0.23223,0.31273,0.48317,0.00151951,0.00151951,0.00151951
37,4191.38,0.1338,0.31451,0.96829,0.97967,0.97787,0.98911,0.98179,0.27337,0.29162,0.54361,0.00149469,0.00149469,0.00149469
38,4304.6,0.13688,0.30112,0.96815,0.9717,0.95392,0.98731,0.97791,0.2286,0.3791,0.46684,0.00146949,0.00146949,0.00146949
39,4417.82,0.13313,0.30522,0.96573,0.97093,0.98043,0.98968,0.98459,0.21984,0.37864,0.47124,0.00144395,0.00144395,0.00144395
40,4530.98,0.12863,0.29734,0.96146,0.98841,0.97738,0.993,0.98823,0.25527,0.28222,0.5226,0.00141809,0.00141809,0.00141809
41,4644.25,0.12918,0.28765,0.96444,0.9943,0.97525,0.99218,0.98502,0.25446,0.28981,0.49452,0.00139193,0.00139193,0.00139193
42,4757.46,0.12964,0.28723,0.96665,0.97339,0.93753,0.97657,0.97053,0.24238,0.45366,0.49685,0.00136551,0.00136551,0.00136551
43,4870.62,0.12691,0.27059,0.96114,0.99539,0.98271,0.99134,0.98693,0.24011,0.28857,0.50056,0.00133885,0.00133885,0.00133885
44,4983.9,0.12561,0.28658,0.9572,0.99065,0.98572,0.99169,0.98841,0.24326,0.27171,0.52102,0.00131197,0.00131197,0.00131197
45,5097.13,0.12194,0.27342,0.96206,0.9891,0.98129,0.99393,0.9879,0.24765,0.24604,0.49682,0.0012849,0.0012849,0.0012849
46,5210.39,0.12517,0.2729,0.9625,0.99439,0.97168,0.99244,0.987,0.2139,0.29279,0.44924,0.00125766,0.00125766,0.00125766
47,5323.68,0.12451,0.26764,0.96257,0.97585,0.77872,0.84028,0.83664,0.26419,0.8449,0.51358,0.00123029,0.00123029,0.00123029
48,5436.88,0.12292,0.27719,0.96131,0.99225,0.98534,0.99238,0.98921,0.24338,0.41096,0.49532,0.00120282,0.00120282,0.00120282
49,5549.97,0.11943,0.25913,0.95601,0.989,0.97733,0.99044,0.98404,0.25571,0.24361,0.52207,0.00117526,0.00117526,0.00117526
50,5663.09,0.11693,0.25658,0.95621,0.98486,0.96357,0.98792,0.97664,0.23166,0.3138,0.46235,0.00114764,0.00114764,0.00114764
51,5776.24,0.11945,0.26147,0.95746,0.99027,0.97712,0.99203,0.98657,0.21909,0.28823,0.44492,0.00112,0.00112,0.00112
52,5889.51,0.11501,0.24331,0.95595,0.98205,0.96281,0.98743,0.98068,0.23907,0.29861,0.47165,0.00109236,0.00109236,0.00109236
53,6002.8,0.11595,0.26041,0.95685,0.99158,0.98533,0.99382,0.98706,0.23754,0.24171,0.47139,0.00106474,0.00106474,0.00106474
