epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.731,1.19989,2.81545,1.9802,0.55497,0.96779,0.69935,0.61381,0.6362,1.59432,1.29572,0.0674144,0.000665012,0.000665012
2,312.665,0.36349,0.95015,1.24094,0.95272,0.97094,0.9796,0.9363,0.3381,0.66456,0.88308,0.0347474,0.00133139,0.00133139
3,468.128,0.30167,0.7158,1.13549,0.92759,0.94663,0.97585,0.97314,0.24673,0.58775,0.76154,0.00207932,0.00199661,0.00199661
4,623.379,0.26995,0.64911,1.09126,0.97501,0.96592,0.97344,0.96471,0.32917,0.55729,0.84774,0.00199609,0.00199609,0.00199609
5,777.845,0.24649,0.57204,1.0707,0.90394,0.89283,0.97829,0.9392,0.31769,0.75089,0.85152,0.00199306,0.00199306,0.00199306
6,932.48,0.22352,0.52776,1.04374,0.95691,0.94465,0.98418,0.9801,0.2703,0.51661,0.76707,0.00198917,0.00198917,0.00198917
7,1086.94,0.21786,0.49971,1.03217,0.98848,0.98635,0.98806,0.98559,0.19992,0.47732,0.6662,0.00198441,0.00198441,0.00198441
8,1241.38,0.2038,0.46342,1.0236,0.98931,0.98759,0.98869,0.97839,0.25169,0.47072,0.75009,0.00197881,0.00197881,0.00197881
9,1395.64,0.19697,0.4431,1.01517,0.98394,0.97569,0.98782,0.97489,0.25432,0.45592,0.7539,0.00197235,0.00197235,0.00197235
10,1550.11,0.19509,0.42807,1.0072,0.98969,0.98545,0.98973,0.9883,0.18139,0.35007,0.64106,0.00196506,0.00196506,0.00196506
11,1704.52,0.19184,0.4236,1.0032,0.98654,0.98511,0.98911,0.96125,0.27327,0.44907,0.77625,0.00195693,0.00195693,0.00195693
12,1858.98,0.18725,0.39517,1.00015,0.99107,0.98483,0.99047,0.98907,0.1725,0.31972,0.62854,0.00194798,0.00194798,0.00194798
13,2013.36,0.184,0.39465,0.99543,0.8553,0.90477,0.958,0.9567,0.23551,0.65025,0.70539,0.0019382,0.0019382,0.0019382
14,2167.94,0.17995,0.38368,0.98852,0.98991,0.98759,0.9899,0.9881,0.21586,0.30797,0.66701,0.00192762,0.00192762,0.00192762
15,2322.49,0.17757,0.36783,0.99206,0.99187,0.98477,0.99202,0.98907,0.16483,0.32194,0.60229,0.00191625,0.00191625,0.00191625
16,2477.11,0.17376,0.35557,0.98536,0.99025,0.97971,0.99031,0.98724,0.21975,0.33183,0.68091,0.00190409,0.00190409,0.00190409
17,2631.7,0.17321,0.35484,0.98635,0.91935,0.93752,0.98391,0.98284,0.17056,0.49247,0.60262,0.00189115,0.00189115,0.00189115
18,2786.2,0.17085,0.36118,0.98401,0.99098,0.97669,0.99028,0.98758,0.19754,0.3792,0.65847,0.00187745,0.00187745,0.00187745
19,2940.64,0.17056,0.343,0.98052,0.98868,0.97929,0.99109,0.98851,0.21173,0.26543,0.66313,0.00186301,0.00186301,0.00186301
20,3095.01,0.16883,0.3374,0.98086,0.99019,0.98285,0.99315,0.98973,0.20174,0.34224,0.6467,0.00184783,0.00184783,0.00184783
21,3249.46,0.16698,0.3372,0.97621,0.96878,0.97513,0.98782,0.98452,0.21597,0.28794,0.65447,0.00183193,0.00183193,0.00183193
22,3403.89,0.16536,0.32753,0.97586,0.99022,0.98057,0.99254,0.9897,0.20001,0.24494,0.63361,0.00181534,0.00181534,0.00181534
23,3558.33,0.16004,0.32961,0.97494,0.98462,0.98263,0.98945,0.98898,0.19431,0.38952,0.63912,0.00179805,0.00179805,0.00179805
24,3712.91,0.15949,0.30892,0.97596,0.9942,0.98635,0.99208,0.99062,0.17358,0.32544,0.59469,0.0017801,0.0017801,0.0017801
25,3867.35,0.15813,0.30761,0.97246,0.97724,0.98586,0.99143,0.98962,0.18108,0.33946,0.62888,0.00176149,0.00176149,0.00176149
26,4021.79,0.15321,0.29916,0.97093,0.99203,0.98673,0.99425,0.99081,0.1833,0.3198,0.62161,0.00174225,0.00174225,0.00174225
27,4176.46,0.15241,0.29508,0.96658,0.99022,0.9834,0.99159,0.98947,0.17342,0.37368,0.61683,0.0017224,0.0017224,0.0017224
28,4330.76,0.15179,0.29534,0.96666,0.99555,0.97146,0.98599,0.98415,0.20312,0.46801,0.66066,0.00170195,0.00170195,0.00170195
29,4485.13,0.15543,0.30125,0.9677,0.98977,0.97656,0.99183,0.98903,0.19814,0.40033,0.63139,0.00168093,0.00168093,0.00168093
30,4639.56,0.15001,0.28086,0.9687,0.98952,0.97727,0.99194,0.98366,0.24646,0.25532,0.73058,0.00165936,0.00165936,0.00165936
31,4794.06,0.1476,0.27162,0.96775,0.98601,0.98511,0.99079,0.98838,0.19444,0.32632,0.63756,0.00163725,0.00163725,0.00163725
32,4948.45,0.14684,0.27334,0.96738,0.98392,0.97917,0.99064,0.98892,0.20283,0.40471,0.64159,0.00161463,0.00161463,0.00161463
33,5102.8,0.14671,0.27228,0.96285,0.9768,0.97444,0.99226,0.98929,0.18163,0.31193,0.60964,0.00159153,0.00159153,0.00159153
34,5257.24,0.14242,0.27106,0.96596,0.99039,0.96938,0.99063,0.98745,0.18459,0.43236,0.61871,0.00156796,0.00156796,0.00156796
35,5411.73,0.14162,0.26187,0.96026,0.99058,0.98635,0.99382,0.98938,0.16497,0.36043,0.59639,0.00154394,0.00154394,0.00154394
36,5566.2,0.14225,0.27251,0.96476,0.99177,0.98717,0.99035,0.98845,0.1526,0.19877,0.56559,0.00151951,0.00151951,0.00151951
37,5720.62,0.13903,0.26692,0.95977,0.98856,0.98674,0.98987,0.98869,0.19262,0.33703,0.61787,0.00149469,0.00149469,0.00149469
38,5875.05,0.13686,0.26011,0.95917,0.98829,0.97771,0.99037,0.98954,0.19726,0.24354,0.64351,0.00146949,0.00146949,0.00146949
39,6029.4,0.13809,0.25307,0.96056,0.99025,0.98759,0.99215,0.98954,0.19923,0.20735,0.64373,0.00144395,0.00144395,0.00144395
40,6183.76,0.13568,0.24704,0.96063,0.99366,0.98125,0.99223,0.98949,0.20607,0.32092,0.62684,0.00141809,0.00141809,0.00141809
41,6337.99,0.13368,0.24334,0.95809,0.99316,0.97891,0.99356,0.99138,0.16621,0.29424,0.58148,0.00139193,0.00139193,0.00139193
42,6492.3,0.13426,0.25003,0.95651,0.98777,0.98759,0.9907,0.98341,0.19868,0.21731,0.66373,0.00136551,0.00136551,0.00136551
43,6646.72,0.13876,0.25348,0.95706,0.99357,0.98601,0.99249,0.98968,0.20444,0.43634,0.63812,0.00133885,0.00133885,0.00133885
44,6801.26,0.13323,0.246,0.95546,0.98878,0.98883,0.9911,0.98996,0.18426,0.24602,0.60763,0.00131197,0.00131197,0.00131197
45,6955.71,0.13106,0.2409,0.95684,0.98614,0.98138,0.98997,0.98991,0.19836,0.35827,0.63796,0.0012849,0.0012849,0.0012849
46,7110.28,0.1311,0.24784,0.95282,0.98067,0.98635,0.99148,0.98731,0.21494,0.24565,0.66133,0.00125766,0.00125766,0.00125766
47,7264.71,0.12613,0.23409,0.95394,0.99348,0.98585,0.9919,0.97663,0.22477,0.27979,0.73042,0.00123029,0.00123029,0.00123029
48,7418.96,0.12547,0.23573,0.94784,0.98879,0.98695,0.9906,0.98978,0.19929,0.28962,0.63789,0.00120282,0.00120282,0.00120282
49,7573.36,0.12652,0.23091,0.94984,0.98965,0.98506,0.99382,0.99131,0.18109,0.21947,0.61486,0.00117526,0.00117526,0.00117526
50,7727.7,0.12365,0.23481,0.94925,0.99274,0.97328,0.99057,0.98766,0.18942,0.36601,0.61338,0.00114764,0.00114764,0.00114764
51,7882.22,0.12426,0.2303,0.94867,0.99591,0.98015,0.99459,0.9917,0.17629,0.28132,0.58259,0.00112,0.00112,0.00112
52,8036.69,0.12368,0.22155,0.95025,0.98894,0.98883,0.99388,0.99103,0.17163,0.3555,0.59388,0.00109236,0.00109236,0.00109236
53,8190.9,0.12095,0.22002,0.94688,0.99284,0.98471,0.99151,0.9908,0.18277,0.3333,0.60849,0.00106474,0.00106474,0.00106474
54,8345.48,0.1219,0.22514,0.94869,0.99166,0.98362,0.99386,0.99123,0.17517,0.22515,0.5971,0.00103718,0.00103718,0.00103718
55,8499.89,0.11924,0.21552,0.95066,0.99174,0.96854,0.99115,0.98737,0.16996,0.34381,0.58843,0.00100971,0.00100971,0.00100971
56,8654.29,0.11839,0.21905,0.94726,0.80845,0.94299,0.98018,0.97901,0.18543,0.70669,0.60413,0.000982338,0.000982338,0.000982338
57,8808.6,0.12025,0.21695,0.9473,0.98851,0.98612,0.9939,0.9913,0.15836,0.20347,0.55712,0.000955104,0.000955104,0.000955104
58,8963.03,0.11783,0.21855,0.94753,0.99051,0.97678,0.99265,0.98943,0.19479,0.27402,0.61522,0.000928034,0.000928034,0.000928034
59,9117.56,0.11403,0.20865,0.94454,0.99205,0.98139,0.99385,0.99136,0.14289,0.32451,0.54839,0.000901153,0.000901153,0.000901153
60,9272.07,0.11545,0.21264,0.94733,0.99319,0.98139,0.99404,0.9919,0.17542,0.2717,0.59686,0.000874488,0.000874488,0.000874488
61,9426.41,0.11348,0.21878,0.94194,0.98781,0.98139,0.99345,0.98975,0.17454,0.29887,0.57667,0.000848065,0.000848065,0.000848065
62,9580.84,0.1103,0.20818,0.94655,0.98479,0.97663,0.99219,0.98949,0.17673,0.42917,0.60141,0.000821911,0.000821911,0.000821911
63,9735.47,0.11149,0.20508,0.94771,0.98722,0.96896,0.99203,0.98964,0.1579,0.23487,0.56071,0.00079605,0.00079605,0.00079605
64,9890.06,0.11272,0.2145,0.9459,0.99488,0.97712,0.99259,0.99097,0.16052,0.21617,0.56189,0.00077051,0.00077051,0.00077051
