epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1039.57,0.62102,1.04782,0.89197,0.86954,0.84474,0.90647,0.90215,0.77411,0.64218,0.81227,0.9174,0.00017188,0.00017188,0.00017188
41,1065.07,0.60739,1.02523,0.88536,0.85507,0.80907,0.85055,0.84735,0.73803,0.61522,0.8489,0.91564,0.000170826,0.000170826,0.000170826
42,1090.7,0.63936,0.99206,0.88275,0.92696,0.72493,0.88732,0.88422,0.76609,0.68065,0.82554,0.92739,0.000169772,0.000169772,0.000169772
43,1116.08,0.61324,0.98713,0.90026,0.84158,0.79515,0.86937,0.86548,0.74761,0.63702,0.93501,0.9134,0.000168717,0.000168717,0.000168717
44,1141.22,0.61472,1.00649,0.88748,0.677,0.8805,0.84234,0.83575,0.73063,0.66618,0.86406,0.92773,0.000167663,0.000167663,0.000167663
45,1167.04,0.61263,0.95974,0.89325,0.84742,0.76888,0.85445,0.8476,0.71586,0.7106,0.85693,0.94491,0.000166609,0.000166609,0.000166609
46,1192.53,0.60297,0.93089,0.89364,0.83812,0.85638,0.8834,0.87611,0.75461,0.64725,0.79646,0.92862,0.000165554,0.000165554,0.000165554
47,1217.89,0.62134,0.98011,0.89567,0.89124,0.78428,0.89475,0.88741,0.76595,0.6842,0.92124,0.9311,0.0001645,0.0001645,0.0001645
48,1243.41,0.63327,0.97082,0.89277,0.79021,0.82993,0.88867,0.88143,0.75593,0.69841,0.895,0.93911,0.000163446,0.000163446,0.000163446
49,1268.82,0.60403,0.9271,0.89322,0.80142,0.8456,0.85585,0.84845,0.72356,0.71316,0.83643,0.94105,0.000162391,0.000162391,0.000162391
50,1294.25,0.58454,0.9185,0.8796,0.80153,0.86005,0.87467,0.86729,0.75085,0.66507,0.87599,0.91868,0.000161337,0.000161337,0.000161337
51,1319.72,0.61734,0.93754,0.88416,0.76598,0.82043,0.88535,0.87732,0.72404,0.75951,0.83707,0.94412,0.000160282,0.000160282,0.000160282
52,1345.25,0.61207,0.90793,0.88839,0.763,0.82871,0.87912,0.87258,0.74139,0.72018,0.8727,0.94515,0.000159228,0.000159228,0.000159228
53,1370.77,0.59109,0.90166,0.88043,0.88196,0.77724,0.87855,0.87138,0.75412,0.67891,0.77599,0.93125,0.000158174,0.000158174,0.000158174
